source,early,late,category,further category,link
Questions of Mary,150,350,Gnostics,Quoted Authors,https://www.earlychristianwritings.com/questionsmary.html
"Allogenese, the Stranger",150,350,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/allogenes.html
Hypsiphrone,150,350,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/hypsiphrone.html
Valentinian Exposition,150,350,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/valentinian.html
Acts of Peter,150,350,Apocrypha,Apostolic Acts,https://www.earlychristianwritings.com/actpeter.html
Concept of Our Great Power,150,360,Gnostics,Additional Nag Hammadi,https://www.earlychristianwritings.com/greatpower.html
Acts of Pilate,150,400,Apocrypha,Gospels,https://www.earlychristianwritings.com/actspilate.html
Anti-Marcionite Prologues,150,400,Other,Other,https://www.earlychristianwritings.com/antimarcion.html
Dialogue Between John and Jesus,150,400,Apocrypha,Dialogues with Jesus,https://www.earlychristianwritings.com/dialoguejohnjesus.html
Tatian's Address to the Greeks,160,170,Church Fathers,Apologists,https://www.earlychristianwritings.com/tatian.html
